,Year,Month,Day,Close
916,1983,10,28,0.791667
917,1983,10,31,0.786458
918,1983,11,01,0.770833
919,1983,11,02,0.776042
920,1983,11,03,0.765625
921,1983,11,04,0.765625
922,1983,11,07,0.739583
923,1983,11,08,0.739583
924,1983,11,09,0.78125
925,1983,11,10,0.822917
926,1983,11,11,0.859375
927,1983,11,14,0.864583
928,1983,11,15,0.838542
929,1983,11,16,0.869792
930,1983,11,17,0.885417
931,1983,11,18,0.869792
932,1983,11,21,0.869792
933,1983,11,22,0.890625
934,1983,11,23,0.875
935,1983,11,25,0.890625
936,1983,11,28,0.895833
937,1983,11,29,0.885417
938,1983,11,30,0.869792
939,1983,12,01,0.875
940,1983,12,02,0.859375
941,1983,12,05,0.854167
942,1983,12,06,0.838542
943,1983,12,07,0.861979
944,1983,12,08,0.864583
945,1983,12,09,0.869792
946,1983,12,12,0.895833
947,1983,12,13,0.880208
948,1983,12,14,0.838542
949,1983,12,15,0.828125
950,1983,12,16,0.848958
951,1983,12,19,0.875
952,1983,12,20,0.859375
953,1983,12,21,0.875
954,1983,12,22,0.859375
955,1983,12,23,0.848958
956,1983,12,27,0.864583
957,1983,12,28,0.864583
958,1983,12,29,0.859375
959,1983,12,30,0.875
960,1984,01,03,0.848958
961,1984,01,04,0.856771
962,1984,01,05,0.895833
963,1984,01,06,0.890625
964,1984,01,09,0.890625
965,1984,01,10,0.880208
966,1984,01,11,0.864583
967,1984,01,12,0.859375
968,1984,01,13,0.885417
969,1984,01,16,0.846354
970,1984,01,17,0.859375
971,1984,01,18,0.817708
972,1984,01,19,0.828125
973,1984,01,20,0.786458
974,1984,01,23,0.786458
975,1984,01,24,0.791667
976,1984,01,25,0.770833
977,1984,01,26,0.760417
978,1984,01,27,0.734375
979,1984,01,30,0.744792
980,1984,01,31,0.765625
981,1984,02,01,0.739583
982,1984,02,02,0.755208
983,1984,02,03,0.71875
984,1984,02,06,0.692708
985,1984,02,07,0.713542
986,1984,02,08,0.65625
987,1984,02,09,0.674479
988,1984,02,10,0.697917
989,1984,02,13,0.692708
990,1984,02,14,0.682292
991,1984,02,15,0.677083
992,1984,02,16,0.671875
993,1984,02,17,0.671875
994,1984,02,21,0.679688
995,1984,02,22,0.692708
996,1984,02,23,0.697917
